deeltijds zelfstandig academisch personeel;docent
zelfstandig academisch personeel;docent
[docent];docent
buitengewoon docent;docent
docent (1e categorie);docent
docent (2e categorie);docent
docent (3e categorie);docent
docent (3e catgeorie);docent
docent (ad interim);docent
docent (gemachtigd met eretitel van professor);docent
docent (met rang van gewoon professor);docent
docent (met titel van professor);docent
docent (op rust);docent
docent (part-time);docent
docent (tijdelijk) (3e categorie);docent
docent (tijdelijk);docent
docent (titre de gewoon hoogleraar);docent
docent (verbonden aan de faculteit Rechtsgeleerdheid);docent
docent (waarnemend);docent
docent [2de klasse];docent
docent tenure track;docent
docent;docent
ere-docent;docent
ere-professor;docent
eredocent;docent
gastdocent;docent
gastprofessor;docent
geassocieerd docent;docent
hoofddocent;docent
ordentlicher Professor;docent
part-time docent;docent
professor (eretitel);docent
professor adjoint;docent
professor geaggregeerde;docent
werkleider-docent;docent
[buitengewoon hoogleraar];buitengewoon hoogleraar
buitengewoon hoogleraar (in ere-opzicht);buitengewoon hoogleraar
buitengewoon hoogleraar;buitengewoon hoogleraar
docent (met de rang van buitengewoon professor);buitengewoon hoogleraar
docent (met ererang buitengewoon hoogleraar);buitengewoon hoogleraar
docent (met ererang van buitengewoon hoogleraar);buitengewoon hoogleraar
[gewoon hoogleraar];hoogleraar
[hoogleraar];hoogleraar
docent (gemachtigd met eretitel van hoogleraar);hoogleraar
docent (met eretitel van hoogleraar);hoogleraar
docent (met rang van gewoon hoogleraar);hoogleraar
docent (met titel van gewoon hoogleraar);hoogleraar
ere-gewoon hoogleraar;hoogleraar
ere-hoogleraar;hoogleraar
gasthoogleraar;hoogleraar
geassocieerd hoogleraar;hoogleraar
gewoon hoogleraar (in ere-opzicht);hoogleraar
gewoon hoogleraar (in functie van bibliothecaris);hoogleraar
gewoon hoogleraar (refus);hoogleraar
gewoon hoogleraar (remplacement tijdelijk);hoogleraar
gewoon hoogleraar1,;hoogleraar
hoogleraar (eretitel);hoogleraar
hoogleraar;hoogleraar
titularis;hoogleraar
[emeritus];emeritus
buitengewoon hoogleraar-emeritus;emeritus
docent-emeritus;emeritus
emeritus (deeltijds);emeritus
emeritus;emeritus
geassocieerd hoogleraar-emeritus;emeritus
hoogleraar-emeritus;emeritus
professor-emeritus;emeritus
diensthoofd;voorzitter/diensthoofd
directeur-diensthoofd;voorzitter/diensthoofd
directeur;voorzitter/diensthoofd
hoofd van de externe kliniek;voorzitter/diensthoofd
hoofd van de kliniek;voorzitter/diensthoofd
voorzitter;voorzitter/diensthoofd
waarnemend voorzitter;voorzitter/diensthoofd
academisch beheerder;bestuurder
administrateur-inspecteur;bestuurder
administrateur;bestuurder
beheerder-inspecteur (ad interim);bestuurder
beheerder-inspecteur;bestuurder
beheerder;bestuurder
co-voorzitter Beheerscommissie van het Patrimonium;bestuurder
regeringscommissaris;bestuurder
[decaan];decaan
decaan;decaan
ererector;rector
ere-rector;rector
rector (plaatsvervangend);rector
rector;rector
waarnemend rector;rector
